Area_name,STCOU,INC110179D
UNITED STATES,0,16841
ALABAMA,1000,13669
"Autauga, AL",1001,16524
"Baldwin, AL",1003,14614
"Barbour, AL",1005,10058
"Bibb, AL",1007,12299
"Blount, AL",1009,12657
"Bullock, AL",1011,8204
"Butler, AL",1013,10206
"Calhoun, AL",1015,13665
"Chambers, AL",1017,12304
"Cherokee, AL",1019,12004
"Chilton, AL",1021,11879
"Choctaw, AL",1023,10134
"Clarke, AL",1025,12091
"Clay, AL",1027,10984
"Cleburne, AL",1029,12782
"Coffee, AL",1031,14148
"Colbert, AL",1033,15445
"Conecuh, AL",1035,9211
"Coosa, AL",1037,10968
"Covington, AL",1039,11209
"Crenshaw, AL",1041,8906
"Cullman, AL",1043,12117
"Dale, AL",1045,12627
"Dallas, AL",1047,10565
"DeKalb, AL",1049,11475
"Elmore, AL",1051,14985
"Escambia, AL",1053,11580
"Etowah, AL",1055,13320
"Fayette, AL",1057,11878
"Franklin, AL",1059,12112
"Geneva, AL",1061,10866
"Greene, AL",1063,7406
"Hale, AL",1065,8236
"Henry, AL",1067,11627
"Houston, AL",1069,14075
"Jackson, AL",1071,13772
"Jefferson, AL",1073,15656
"Lamar, AL",1075,12695
"Lauderdale, AL",1077,15093
"Lawrence, AL",1079,12097
"Lee, AL",1081,11655
"Limestone, AL",1083,14223
"Lowndes, AL",1085,8383
"Macon, AL",1087,8843
"Madison, AL",1089,16957
"Marengo, AL",1091,10494
"Marion, AL",1093,11964
"Marshall, AL",1095,12433
"Mobile, AL",1097,14702
"Monroe, AL",1099,11596
"Montgomery, AL",1101,14877
"Morgan, AL",1103,15790
"Perry, AL",1105,7856
"Pickens, AL",1107,10436
"Pike, AL",1109,9748
"Randolph, AL",1111,10398
"Russell, AL",1113,11344
"St. Clair, AL",1115,14485
"Shelby, AL",1117,18272
"Sumter, AL",1119,9185
"Talladega, AL",1121,12625
"Tallapoosa, AL",1123,12476
"Tuscaloosa, AL",1125,13119
"Walker, AL",1127,13185
"Washington, AL",1129,12745
"Wilcox, AL",1131,8261
"Winston, AL",1133,11995
ALASKA,2000,25414
"Aleutians East, AK",2013,
"Aleutians West, AK",2016,19389
"Anchorage, AK",2020,27375
"Bethel, AK",2050,13656
"Bristol Bay, AK",2060,33516
"Denali, AK",2068,
"Dillingham, AK",2070,18977
"Fairbanks North Star, AK",2090,23647
"Haines, AK",2100,20893
"Hoonah-Angoon, AK",2105,21396
"Juneau, AK",2110,30834
"Kenai Peninsula, AK",2122,23660
"Ketchikan Gateway, AK",2130,27015
"Kodiak Island, AK",2150,26421
"Lake and Peninsula, AK",2164,
"Matanuska-Susitna, AK",2170,23483
"Nome, AK",2180,14550
"North Slope, AK",2185,31378
"Northwest Arctic, AK",2188,17756
"Petersburg, AK",2195,24403
"Prince of Wales-Hyder, AK",2198,21947
"Sitka, AK",2220,31133
"Skagway, AK",2230,
"Southeast Fairbanks, AK",2240,15903
"Valdez-Cordova, AK",2261,27469
"Wade Hampton, AK",2270,11373
"Wrangell, AK",2275,
"Yakutat, AK",2282,
"Yukon-Koyukuk, AK",2290,12371
ARIZONA,4000,16448
"Apache, AZ",4001,11057
"Cochise, AZ",4003,13668
"Coconino, AZ",4005,15962
"Gila, AZ",4007,13828
"Graham, AZ",4009,12479
"Greenlee, AZ",4011,21396
"La Paz, AZ",4012,
"Maricopa, AZ",4013,17728
"Mohave, AZ",4015,14160
"Navajo, AZ",4017,13593
"Pima, AZ",4019,15796
"Pinal, AZ",4021,14478
"Santa Cruz, AZ",4023,14575
"Yavapai, AZ",4025,13076
"Yuma, AZ",4027,13589
ARKANSAS,5000,12214
"Arkansas, AR",5001,12189
"Ashley, AR",5003,12704
"Baxter, AR",5005,11432
"Benton, AR",5007,13930
"Boone, AR",5009,11336
"Bradley, AR",5011,10024
"Calhoun, AR",5013,9822
"Carroll, AR",5015,10898
"Chicot, AR",5017,7455
"Clark, AR",5019,11478
"Clay, AR",5021,9363
"Cleburne, AR",5023,10891
"Cleveland, AR",5025,11108
"Columbia, AR",5027,11354
"Conway, AR",5029,11681
"Craighead, AR",5031,13040
"Crawford, AR",5033,12932
"Crittenden, AR",5035,11687
"Cross, AR",5037,12171
"Dallas, AR",5039,11473
"Desha, AR",5041,10167
"Drew, AR",5043,11908
"Faulkner, AR",5045,13500
"Franklin, AR",5047,11465
"Fulton, AR",5049,9454
"Garland, AR",5051,12132
"Grant, AR",5053,14233
"Greene, AR",5055,11503
"Hempstead, AR",5057,11161
"Hot Spring, AR",5059,12412
"Howard, AR",5061,11590
"Independence, AR",5063,11763
"Izard, AR",5065,9620
"Jackson, AR",5067,10960
"Jefferson, AR",5069,12761
"Johnson, AR",5071,10562
"Lafayette, AR",5073,9228
"Lawrence, AR",5075,9679
"Lee, AR",5077,7376
"Lincoln, AR",5079,10384
"Little River, AR",5081,13516
"Logan, AR",5083,10023
"Lonoke, AR",5085,13493
"Madison, AR",5087,10171
"Marion, AR",5089,9935
"Miller, AR",5091,12518
"Mississippi, AR",5093,11207
"Monroe, AR",5095,8515
"Montgomery, AR",5097,9845
"Nevada, AR",5099,10380
"Newton, AR",5101,7849
"Ouachita, AR",5103,11312
"Perry, AR",5105,11483
"Phillips, AR",5107,8580
"Pike, AR",5109,11062
"Poinsett, AR",5111,11200
"Polk, AR",5113,10056
"Pope, AR",5115,12792
"Prairie, AR",5117,10089
"Pulaski, AR",5119,15652
"Randolph, AR",5121,10785
"St. Francis, AR",5123,9653
"Saline, AR",5125,17536
"Scott, AR",5127,9109
"Searcy, AR",5129,7602
"Sebastian, AR",5131,13762
"Sevier, AR",5133,11992
"Sharp, AR",5135,9940
"Stone, AR",5137,8224
"Union, AR",5139,12016
"Van Buren, AR",5141,10668
"Washington, AR",5143,12800
"White, AR",5145,11249
"Woodruff, AR",5147,9107
"Yell, AR",5149,10508
CALIFORNIA,6000,18243
"Alameda, CA",6001,18700
"Alpine, CA",6003,15912
"Amador, CA",6005,15370
"Butte, CA",6007,13012
"Calaveras, CA",6009,15266
"Colusa, CA",6011,15379
"Contra Costa, CA",6013,22870
"Del Norte, CA",6015,13783
"El Dorado, CA",6017,17513
